a,b,c,d,e,f,g,h,i,j,class
0.374,0.052,0.287,0.194,0.95,0.704,0.678,0.704,0.406,0.127,0
0.028,0.386,0.821,0.386,0.882,0.725,0.215,0.868,0.41,0.215,0
0.083,0.931,0.046,0.983,0.073,0.834,0.402,0.997,0.981,0.831,0
0.919,0.29,0.277,0.138,0.174,0.249,0.156,0.05,0.641,0.668,0
0.631,0.639,0.672,0.357,0.117,0.02,0.996,0.954,0.891,0.283,1
0.243,0.115,0.885,0.894,0.448,0.468,0.286,0.101,0.349,0.971,0
0.735,0.87,0.025,0.47,0.781,0.453,0.269,0.142,0.385,0.94,0
0.284,0.046,0.886,0.593,0.195,0.438,0.393,0.532,0.308,0.844,1
0.448,0.046,0.367,0.392,0.469,0.332,0.388,0.464,0.157,0.756,0
0.613,0.886,0.903,0.672,0.827,0.207,0.245,0.895,0.074,0.034,1
0.596,0.617,0.518,0.924,0.884,0.209,0.078,0.047,0.848,0.551,1
0.701,0.939,0.335,0.97,0.515,0.804,0.832,0.476,0.228,0.394,1
0.727,0.696,0.286,0.799,0.227,0.486,0.974,0.367,0.863,0.277,0
0.976,0.002,0.479,0.947,0.824,0.013,0.475,0.877,0.788,0.567,1
0.43,0.591,0.164,0.405,0.154,0.972,0.825,0.876,0.2,0.555,1
0.104,0.609,0.472,0.14,0.244,0.033,0.896,0.274,0.777,0.315,0
0.196,0.322,0.436,0.173,0.503,0.718,0.297,0.322,0.188,0.471,0
0.493,0.585,0.698,0.141,0.305,0.243,0.216,0.209,0.092,0.934,1
0.009,0.558,0.947,0.258,0.814,0.39,0.198,0.971,0.543,0.397,1
0.686,0.313,0.237,0.536,0.418,0.176,0.38,0.267,0.405,0.75,1
0.103,0.77,0.963,0.684,0.666,0.606,0.372,0.548,0.726,0.373,0
0.774,0.844,0.273,0.805,0.272,0.227,0.98,0.552,0.665,0.804,1
0.888,0.381,0.706,0.136,0.445,0.006,0.722,0.085,0.356,0.172,1
0.898,0.647,0.922,0.088,0.722,0.299,0.941,0.135,0.706,0.782,1
0.775,0.705,0.238,0.473,0.735,0.284,0.791,0.438,0.36,0.855,0
0.429,0.539,0.681,0.817,0.073,0.39,0.247,0.265,0.146,0.836,1
0.255,0.214,0.529,0.931,0.032,0.213,0.806,0.381,0.878,0.147,0
0.198,0.811,0.306,0.037,0.283,0.811,0.929,0.456,0.264,0.828,1
0.617,0.724,0.831,0.94,0.182,0.937,0.629,0.914,0.224,0.097,1
0.192,0.955,0.572,0.728,0.102,0.091,0.399,0.039,0.394,0.164,0
0.453,0.44,0.625,0.452,0.96,0.399,0.667,0.46,0.147,0.987,0
0.254,0.836,0.53,0.019,0.416,0.123,0.241,0.582,0.665,0.664,1
0.929,0.605,0.097,0.721,0.624,0.884,0.188,0.429,0.818,0.359,0
0.028,0.963,0.288,0.867,0.453,0.807,0.023,0.353,0.578,0.216,0
0.433,0.896,0.465,0.569,0.162,0.848,0.142,0.926,0.003,0.792,1
0.617,0.936,0.982,0.723,0.98,0.871,0.162,0.735,0.862,0.702,0
0.011,0.261,0.25,0.482,0.394,0.338,0.933,0.982,0.946,0.273,1
0.94,0.035,0.201,0.497,0.498,0.002,0.664,0.215,0.578,0.156,0
0.419,0.597,0.835,0.455,0.108,0.136,0.011,0.78,0.094,0.495,1
0.223,0.463,0.117,0.154,0.595,0.03,0.338,0.088,0.725,0.043,1
0.578,0.379,0.563,0.044,0.166,0.144,0.922,0.871,0.878,0.777,0
0.123,0.359,0.861,0.048,0.075,0.227,0.351,0.603,0.994,0.578,0
0.232,0.668,0.813,0.174,0.02,0.571,0.013,0.879,0.629,0.936,1
0.249,0.143,0.491,0.152,0.533,0.673,0.246,0.861,0.438,0.269,1
0.113,0.619,0.481,0.146,0.975,0.896,0.884,0.863,0.193,0.737,1
0.433,0.704,0.168,0.444,0.337,0.573,0.836,0.147,0.799,0.806,0
0.655,0.186,0.348,0.471,0.531,0.675,0.805,0.691,0.335,0.981,0
0.053,0.434,0.837,0.666,0.999,0.792,0.344,0.664,0.327,0.602,1
0.194,0.791,0.988,0.316,0.785,0.739,0.83,0.69,0.599,0.912,1
0.495,0.801,0.679,0.083,0.515,0.061,0.735,0.503,0.425,0.607,1
0.75,0.258,0.702,0.54,0.068,0.887,0.959,0.705,0.469,0.885,1
0.48,0.539,0.778,0.621,0.254,0.798,0.679,0.27,0.284,0.98,1
0.918,0.173,0.374,0.022,0.414,0.969,0.604,0.617,0.604,0.251,1
0.196,0.488,0.744,0.925,0.117,0.839,0.106,0.843,0.691,0.13,1
0.837,0.066,0.381,0.732,0.333,0.211,0.945,0.129,0.744,0.568,1
0.871,0.06,0.208,0.274,0.011,0.826,0.27,0.192,0.923,0.093,0
0.58,0.661,0.478,0.4,0.17,0.013,0.08,0.521,0.076,0.781,1
0.97,0.903,0.186,0.178,0.768,0.55,0.504,0.45,0.556,0.753,0
0.955,0.43,0.706,0.705,0.229,0.613,0.835,0.654,0.392,0.456,0
0.837,0.615,0.651,0.271,0.041,0.226,0.414,0.115,0.249,0.656,1
0.179,0.793,0.417,0.773,0.759,0.005,0.945,0.686,0.414,0.046,0
0.83,0.402,0.246,0.153,0.306,0.112,0.317,0.92,0.112,0.282,0
0.904,0.359,0.848,0.369,0.494,0.645,0.386,0.621,0.885,0.321,1
0.161,0.7,0.569,0.519,0.136,0.144,0.38,0.99,0.002,0.424,1
0.038,0.302,0.236,0.684,0.251,0.217,0.059,0.86,0.744,0.535,0
0.618,0.552,0.9,0.026,0.044,0.781,0.901,0.716,0.518,0.746,1
0.608,0.631,0.387,0.114,0.08,0.252,0.095,0.669,0.202,0.093,1
0.615,0.739,0.744,0.735,0.74,0.05,0.693,0.264,0.209,0.939,0
0.999,0.691,0.683,0.436,0.937,0.832,0.63,0.344,0.967,0.167,1
0.525,0.085,0.204,0.041,0.242,0.69,0.851,0.258,0.406,0.437,0
0.748,0.031,0.128,0.851,0.051,0.001,0.863,0.646,0.58,0.752,1
0.072,0.057,0.842,0.603,0.169,0.11,0.945,0.583,0.98,0.089,1
0.501,0.412,0.25,0.285,0.049,0.7,0.773,0.072,0.583,0.585,0
0.732,0.954,0.637,0.562,0.282,0.514,0.626,0.204,0.758,0.043,1
0.762,0.923,0.306,0.492,0.826,0.817,0.307,0.89,0.924,0.865,1
0.845,0.232,0.473,0.324,0.796,0.427,0.614,0.6,0.043,0.43,0
0.908,0.619,0.426,0.494,0.164,0.824,0.406,0.313,0.088,0.938,0
0.078,0.313,0.589,0.017,0.674,0.193,0.233,0.428,0.876,0.851,1
0.3,0.263,0.568,0.916,0.526,0.021,0.032,0.277,0.222,0.141,0
0.648,0.934,0.024,0.352,0.872,0.28,0.944,0.366,0.594,0.374,1
0.17,0.371,0.746,0.646,0.777,0.924,0.67,0.782,0.048,0.288,0
0.436,0.782,0.788,0.677,0.357,0.565,0.359,0.502,0.716,0.786,1
0.199,0.408,0.207,0.316,0.781,0.017,0.986,0.026,0.438,0.975,0
0.407,0.68,0.818,0.942,0.591,0.435,0.281,0.387,0.048,0.125,1
0.741,0.59,0.969,0.573,0.239,0.786,0.914,0.538,0.26,0.94,1
0.912,0.803,0.688,0.46,0.356,0.302,0.19,0.055,0.984,0.743,1
0.144,0.284,0.877,0.284,0.03,0.985,0.421,0.593,0.272,0.373,1
0.051,0.547,0.304,0.151,0.117,0.647,0.17,0.497,0.491,0.756,1
0.599,0.573,0.217,0.529,0.867,0.09,0.84,0.998,0.164,0.641,0
0.236,0.768,0.746,0.871,0.048,0.793,0.114,0.11,0.621,0.382,1
0.484,0.547,0.1,0.482,0.832,0.882,0.831,0.873,0.858,0.677,0
0.938,0.191,0.2,0.711,0.82,0.095,0.489,0.316,0.93,0.434,0
0.555,0.765,0.61,0.035,0.668,0.054,0.757,0.153,0.25,0.346,1
0.161,0.964,0.931,0.694,0.059,0.769,0.777,0.051,0.19,0.623,1
0.406,0.39,0.657,0.73,0.772,0.605,0.741,0.982,0.857,0.101,1
0.694,0.659,0.712,0.505,0.385,0.698,0.696,0.603,0.482,0.609,1
0.82,0.823,0.442,0.086,0.183,0.545,0.113,0.74,0.251,0.24,0
0.751,0.704,0.24,0.094,0.498,0.347,0.57,0.725,0.548,0.862,1
0.491,0.052,0.659,0.737,0.259,0.233,0.709,0.868,0.403,0.686,0
0.909,0.207,0.506,0.293,0.419,0.228,0.626,0.031,0.54,0.616,0
0.0,0.935,0.093,0.338,0.485,0.831,0.617,0.188,0.699,0.197,0
0.419,0.648,0.176,0.842,0.845,0.413,0.453,0.359,0.168,0.941,1
0.392,0.763,0.391,0.166,0.92,0.714,0.704,0.625,0.724,0.819,0
0.202,0.69,0.74,0.615,0.862,0.27,0.564,0.887,0.118,0.596,1
0.862,0.92,0.806,0.204,0.414,0.664,0.474,0.791,0.374,0.452,1
0.91,0.287,0.486,0.163,0.952,0.574,0.836,0.038,0.635,0.961,0
0.693,0.831,0.077,0.261,0.35,0.489,0.078,0.555,0.573,0.911,0
0.013,0.186,0.134,0.714,0.497,0.975,0.178,0.049,0.416,0.421,0
0.542,0.258,0.996,0.708,0.561,0.977,0.756,0.761,0.041,0.771,0
0.682,0.974,0.36,0.27,0.918,0.318,0.2,0.76,0.588,0.764,0
0.822,0.916,0.537,0.989,0.299,0.543,0.038,0.234,0.247,0.216,0
0.784,0.807,0.512,0.499,0.481,0.433,0.944,0.16,0.563,0.654,1
0.937,0.124,0.596,0.31,0.795,0.609,0.086,0.807,0.505,0.836,0
0.263,0.132,0.171,0.418,0.07,0.75,0.871,0.038,0.285,0.968,0
0.424,0.48,0.161,0.68,0.763,0.284,0.733,0.285,0.302,0.483,0
0.025,0.754,0.091,0.344,0.04,0.661,0.898,0.673,0.856,0.537,0
0.922,0.029,0.476,0.117,0.834,0.84,0.458,0.736,0.427,0.93,0
0.168,0.513,0.044,0.507,0.468,0.622,0.735,0.6,0.261,0.766,0
0.756,0.403,0.515,0.157,0.031,0.96,0.363,0.599,0.838,0.995,0
0.246,0.287,0.8,0.201,0.777,0.024,0.312,0.215,0.698,0.717,0
0.153,0.355,0.98,0.078,0.57,0.184,0.948,0.501,0.739,0.989,0
0.904,0.765,0.597,0.27,0.573,0.407,0.422,0.224,0.306,0.995,0
0.679,0.335,0.939,0.404,0.63,0.009,0.194,0.661,0.262,0.34,0
0.723,0.202,0.862,0.747,0.946,0.882,0.269,0.294,0.596,0.856,0
0.153,0.848,0.812,0.641,0.224,0.94,0.122,0.268,0.439,0.225,0
0.341,0.392,0.713,0.996,0.865,0.83,0.241,0.504,0.306,0.177,1
0.543,0.682,0.46,0.903,0.624,0.43,0.866,0.812,0.403,0.904,1
0.192,0.568,0.402,0.995,0.182,0.54,0.559,0.241,0.337,0.195,0
0.887,0.057,0.062,0.272,0.461,0.83,0.829,0.739,0.404,0.397,1
0.105,0.706,0.668,0.235,0.124,0.764,0.042,0.273,0.435,0.513,1
0.899,0.442,0.48,0.955,0.645,0.801,0.669,0.054,0.077,0.804,1
0.732,0.855,0.46,0.492,0.468,0.671,0.454,0.406,0.313,0.519,0
0.261,0.91,0.349,0.72,0.807,0.502,0.249,0.832,0.652,0.031,1
0.544,0.303,0.136,0.696,0.552,0.067,0.331,0.769,0.143,0.238,0
0.96,0.422,0.4,0.451,0.804,0.063,0.804,0.43,0.708,0.205,1
0.141,0.529,0.082,0.603,0.229,0.137,0.434,0.165,0.001,0.23,1
0.563,0.78,0.15,0.068,0.107,0.958,0.346,0.685,0.518,0.587,0
0.015,0.691,0.092,0.664,0.503,0.12,0.555,0.807,0.482,0.613,0
0.106,0.888,0.252,0.008,0.416,0.255,0.66,0.675,0.325,0.26,1
0.371,0.58,0.188,0.679,0.133,0.25,0.226,0.976,0.994,0.984,0
0.968,0.809,0.748,0.648,0.792,0.342,0.976,0.314,0.179,0.664,0
0.628,0.106,0.156,0.202,0.646,0.881,0.064,0.911,0.655,0.319,1
0.745,0.856,0.245,0.597,0.088,0.535,0.73,0.439,0.757,0.409,0
0.375,0.028,0.716,0.836,0.8,0.056,0.56,0.252,0.315,0.121,0
0.091,0.686,0.493,0.322,0.083,0.372,0.446,0.156,0.023,0.476,1
0.412,0.881,0.21,0.513,0.64,0.479,0.562,0.347,0.17,0.865,1
0.667,0.033,0.605,0.388,0.813,0.583,0.851,0.74,0.624,0.92,1
0.026,0.2,0.106,0.157,0.552,0.759,0.12,0.9,0.924,0.032,1
0.092,0.661,0.838,0.431,0.837,0.287,0.218,0.503,0.497,0.936,0
0.067,0.871,0.878,0.464,0.148,0.601,0.772,0.069,0.864,0.049,1
0.093,0.659,0.691,0.397,0.47,0.364,0.827,0.27,0.328,0.761,1
0.521,0.469,0.37,0.111,0.159,0.179,0.111,0.554,0.829,0.729,1
0.23,0.261,0.68,0.64,0.812,0.728,0.521,0.325,0.299,0.953,0
0.925,0.122,0.735,0.702,0.006,0.518,0.423,0.76,0.814,0.305,0
0.733,0.484,0.84,0.948,0.599,0.666,0.764,0.912,0.644,0.477,0
0.888,0.746,0.596,0.979,0.62,0.206,0.187,0.953,0.296,0.702,0
0.138,0.856,0.457,0.325,0.946,0.402,0.723,0.135,0.948,0.149,0
0.347,0.431,0.498,0.864,0.168,0.265,0.236,0.623,0.84,0.558,1
0.864,0.3,0.563,0.541,0.296,0.733,0.921,0.9,0.457,0.189,1
0.486,0.688,0.688,0.81,0.166,0.067,0.503,0.651,0.054,0.404,1
0.978,0.704,0.064,0.9,0.966,0.114,0.867,0.766,0.911,0.627,1
0.988,0.815,0.149,0.813,0.008,0.531,0.689,0.94,0.53,0.697,1
0.415,0.094,0.98,0.706,0.475,0.228,0.185,0.828,0.547,0.807,0
0.796,0.277,0.449,0.931,0.115,0.957,0.149,0.693,0.339,0.623,1
0.153,0.421,0.257,0.496,0.526,0.992,0.026,0.32,0.592,0.187,0
0.431,0.278,0.021,0.571,0.236,0.623,0.605,0.38,0.048,0.86,0
0.738,0.99,0.62,0.401,0.814,0.713,0.099,0.441,0.811,0.109,0
0.197,0.357,0.746,0.011,0.188,0.771,0.691,0.872,0.997,0.029,1
0.975,0.797,0.623,0.697,0.955,0.035,0.524,0.366,0.612,0.505,1
0.108,0.212,0.314,0.047,0.691,0.431,0.863,0.755,0.078,0.837,0
0.109,0.863,0.348,0.651,0.455,0.753,0.921,0.777,0.099,0.918,0
0.144,0.774,0.248,0.147,0.825,0.806,0.85,0.573,0.198,0.417,0
0.98,0.23,0.363,0.132,0.999,0.538,0.69,0.757,0.716,0.805,0
0.257,0.159,0.513,0.313,0.148,0.127,0.056,0.144,0.963,0.846,1
0.053,0.208,0.635,0.089,0.099,0.692,0.473,0.674,0.718,0.34,0
0.685,0.429,0.006,0.232,0.262,0.652,0.872,0.429,0.803,0.707,1
0.753,0.82,0.189,0.135,0.88,0.676,0.239,0.772,0.726,0.008,0
0.617,0.477,0.347,0.906,0.938,0.25,0.902,0.056,0.969,0.965,1
0.55,0.151,0.258,0.898,0.678,0.368,0.903,0.25,0.323,0.006,0
0.92,0.008,0.159,0.8,0.248,0.801,0.683,0.437,0.943,0.689,0
0.88,0.164,0.766,0.237,0.607,0.96,0.004,0.008,0.713,0.859,1
0.719,0.951,0.478,0.137,0.19,0.316,0.062,0.816,0.365,0.535,1
0.247,0.903,0.638,0.724,0.722,0.846,0.441,0.288,0.159,0.058,0
0.724,0.974,0.041,0.018,0.539,0.123,0.132,0.796,0.561,0.058,0
0.158,0.925,0.132,0.229,0.081,0.856,0.473,0.636,0.506,0.053,1
0.035,0.223,0.813,0.903,0.915,0.489,0.427,0.619,0.548,0.711,0
0.166,0.29,0.368,0.629,0.745,0.366,0.459,0.378,0.537,0.834,1
0.881,0.307,0.421,0.37,0.206,0.003,0.191,0.793,0.541,0.465,0
0.932,0.437,0.521,0.975,0.186,0.043,0.029,0.918,0.445,0.051,1
0.44,0.364,0.395,0.88,0.569,0.031,0.856,0.695,0.065,0.405,1
0.361,0.183,0.534,0.228,0.794,0.176,0.078,0.353,0.723,0.155,1
0.474,0.092,0.628,0.65,0.862,0.909,0.974,0.627,0.802,0.813,1
0.117,0.335,0.612,0.358,0.654,0.615,0.913,0.472,0.684,0.788,1
0.548,0.786,0.683,0.432,0.999,0.813,0.047,0.93,0.662,0.234,1
0.054,0.027,0.917,0.937,0.884,0.011,0.856,0.381,0.403,0.084,1
0.774,0.311,0.232,0.376,0.449,0.11,0.132,0.477,1.0,0.064,0
0.421,0.57,0.319,0.979,0.105,0.323,0.355,0.064,0.361,0.295,0
0.186,0.347,0.162,0.65,0.345,0.652,0.449,0.745,0.515,0.665,0
0.062,0.037,0.948,0.574,0.493,0.481,0.268,0.378,0.563,0.516,0
0.477,0.435,0.072,0.584,0.345,0.898,0.72,0.592,0.941,0.574,1
0.149,0.385,0.989,0.205,0.487,0.973,0.124,0.267,0.991,0.967,1
0.03,0.731,0.675,0.123,0.087,0.037,0.208,0.482,0.838,0.427,1
0.418,0.884,0.01,0.947,0.119,0.776,0.066,0.909,0.544,0.65,0
0.857,0.391,0.183,0.169,0.376,0.294,0.11,0.074,0.234,0.213,1
0.512,0.101,0.696,0.398,0.198,0.396,0.006,0.777,0.163,0.923,0
0.475,0.958,0.02,0.477,0.381,0.736,0.519,0.89,0.545,0.92,0
0.462,0.667,0.228,0.895,0.103,0.552,0.178,0.346,0.683,0.144,1
0.759,0.886,0.082,0.478,0.115,0.602,0.652,0.312,0.914,0.949,1
0.433,0.987,0.483,0.725,0.371,0.706,0.356,0.332,0.742,0.802,0
0.149,0.922,0.221,0.476,0.058,0.776,0.761,0.209,0.324,0.005,1
0.19,0.071,0.135,0.649,0.863,0.012,0.625,0.506,0.205,0.457,1
0.856,0.026,0.066,0.84,0.964,0.411,0.533,0.774,0.437,0.152,0
0.026,0.042,0.344,0.787,0.318,0.664,0.102,0.802,0.98,0.224,1
0.566,0.119,0.366,0.881,0.009,0.246,0.811,0.179,0.711,0.69,1
0.08,0.288,0.718,0.735,0.511,0.699,0.381,0.962,0.552,0.491,0
0.984,0.256,0.183,0.834,0.909,0.783,0.283,0.391,0.263,0.199,0
0.867,0.795,0.458,0.425,0.801,0.055,0.67,0.387,0.181,0.808,1
0.854,0.966,0.255,0.087,0.608,0.334,0.621,0.927,0.012,0.541,1
0.758,0.937,0.227,0.412,0.202,0.671,0.022,0.466,0.822,0.179,1
0.128,0.431,0.79,0.081,0.855,0.924,0.76,0.627,0.922,0.737,1
0.92,0.016,0.754,0.463,0.144,0.687,0.628,0.573,0.141,0.621,0
0.411,0.343,0.747,0.063,0.46,0.61,0.467,0.17,0.348,0.91,1
0.695,0.034,0.796,0.124,0.609,0.793,0.2,0.163,0.136,0.578,1
0.794,0.548,0.083,0.269,0.142,0.676,0.642,0.684,0.779,0.068,0
0.589,0.9,0.012,0.195,0.918,0.697,0.35,0.193,0.079,0.869,1
0.845,0.404,0.495,0.686,0.829,0.856,0.196,0.189,0.844,0.536,1
0.657,0.272,0.144,0.11,0.011,0.353,0.678,0.25,0.138,0.44,1
0.444,0.212,0.276,0.789,0.097,0.555,0.331,0.166,0.546,0.137,1
0.6,0.391,0.187,0.247,0.35,0.847,0.299,0.729,0.256,0.247,0
0.411,0.581,0.726,0.512,0.786,0.327,0.769,0.804,0.973,0.835,0
0.036,0.64,0.572,0.081,0.325,0.906,0.702,0.773,0.161,0.833,0
0.64,0.933,0.99,0.997,0.522,0.674,0.231,0.636,0.763,0.519,0
0.85,0.662,0.841,0.961,0.102,0.266,0.785,0.019,0.148,0.578,0
0.643,0.48,0.045,0.434,0.588,0.785,0.084,0.068,0.539,0.029,0
0.055,0.402,0.771,0.914,0.245,0.116,0.623,0.605,0.371,0.51,1
0.196,0.504,0.615,0.003,0.256,0.421,0.494,0.726,0.419,0.553,0
0.528,0.74,0.41,0.885,0.975,0.87,0.91,0.126,0.895,0.97,0
0.005,0.426,0.349,0.472,0.342,0.476,0.236,0.419,0.661,0.47,1
0.749,0.87,0.228,0.891,0.736,0.237,0.167,0.553,0.638,0.612,1
0.902,0.399,0.918,0.381,0.209,0.265,0.704,0.644,0.86,0.703,0
0.659,0.819,0.508,0.521,0.209,0.102,0.968,0.606,0.609,0.093,0
0.289,0.131,0.594,0.782,0.89,0.471,0.75,0.627,0.268,0.708,0
0.207,0.544,0.531,0.78,0.586,0.027,0.567,0.12,0.431,0.75,1
0.31,0.954,0.769,0.657,0.01,0.622,0.494,0.328,0.302,0.261,1
0.714,0.608,0.807,0.291,0.021,0.275,0.551,0.187,0.135,0.635,1
0.768,0.756,0.12,0.274,0.748,0.758,0.792,0.621,0.862,0.818,0
0.94,0.984,0.823,0.173,0.702,0.532,0.384,0.82,0.311,0.304,1
0.086,0.163,0.085,0.477,0.786,0.914,0.867,0.099,0.27,0.214,0
0.162,0.478,0.631,0.214,0.62,0.021,0.391,0.703,0.098,0.846,0
0.672,0.499,0.598,0.629,0.405,0.269,0.142,0.542,0.688,0.364,0
0.425,0.346,0.016,0.084,0.582,0.477,0.105,0.168,0.063,0.429,0
0.309,0.195,0.444,0.813,0.169,0.716,0.603,0.564,0.828,0.081,1
0.161,0.101,0.07,0.682,0.628,0.229,0.131,0.003,0.709,0.428,0
0.216,0.641,0.263,0.298,0.18,0.048,0.696,0.589,0.121,0.711,0
0.467,0.83,0.957,0.011,0.189,0.585,0.954,0.64,0.666,0.262,0
0.771,0.768,0.504,0.493,0.35,0.048,0.412,0.199,0.841,0.42,1
0.584,0.157,0.014,0.107,0.29,0.918,0.994,0.08,0.981,0.454,0
0.443,0.261,0.628,0.064,0.449,0.622,0.444,0.676,0.965,0.55,0
0.57,0.423,0.873,0.814,0.472,0.692,0.078,0.047,0.098,0.128,0
0.219,0.579,0.419,0.932,0.26,0.939,0.182,0.13,0.315,0.828,1
0.642,0.894,0.532,0.334,0.123,0.712,0.872,0.129,0.458,0.052,0
0.036,0.719,0.794,0.838,0.499,0.209,0.53,0.204,0.118,0.652,0
0.382,0.482,0.362,0.472,0.859,0.171,0.896,0.53,0.867,0.815,0
0.905,0.367,0.713,0.432,0.931,0.339,0.906,0.47,0.709,0.14,1
0.693,0.403,0.363,0.068,0.364,0.243,0.346,0.374,0.278,0.681,1
0.825,0.952,0.592,0.133,0.481,0.519,0.497,0.94,0.385,0.918,0
0.801,0.666,0.355,0.458,0.456,0.214,0.888,0.713,0.454,0.127,0
0.764,0.115,0.098,0.573,0.111,0.044,0.281,0.686,0.488,0.714,1
0.968,0.308,0.291,0.908,0.274,0.722,0.845,0.071,0.611,0.269,0
0.466,0.453,0.672,0.875,0.246,0.656,0.494,0.49,0.548,0.479,1
0.12,0.167,0.464,0.273,0.836,0.422,0.575,0.974,0.329,0.783,1
0.803,0.815,0.375,0.243,0.303,0.159,0.082,0.427,0.128,0.405,0
0.75,0.209,0.1,0.206,0.088,0.877,0.327,0.432,0.563,0.261,1
0.537,0.562,0.371,0.04,0.924,0.0,0.534,0.005,0.101,0.487,1
0.633,0.531,0.029,0.762,0.345,0.176,0.158,0.656,0.078,0.208,0
0.033,0.543,0.603,0.395,0.55,0.33,0.828,0.111,0.902,0.756,0
0.764,0.53,0.226,0.943,0.43,0.893,0.84,0.595,0.421,0.653,0
0.934,0.079,0.188,0.489,0.545,0.027,0.414,0.1,0.421,0.87,1
0.286,0.455,0.028,0.508,0.074,0.166,0.844,0.98,0.28,0.661,1
0.077,0.656,0.592,0.906,0.349,0.275,0.567,0.645,0.064,0.06,1
0.003,0.858,0.122,0.801,0.074,0.353,0.422,0.051,0.144,0.926,1
0.271,0.546,0.503,0.258,0.149,0.267,0.645,0.83,0.212,0.342,1
0.917,0.696,0.517,0.399,0.549,0.724,0.263,0.745,0.907,0.709,0
0.439,0.744,0.733,0.473,0.646,0.091,0.137,0.488,0.328,0.927,1
0.762,0.457,0.51,0.389,0.94,0.283,0.09,0.327,0.974,0.521,0
0.251,0.839,0.347,0.943,0.793,0.226,0.165,0.981,0.881,0.685,0
0.212,0.459,0.476,0.898,0.99,0.837,0.266,0.329,0.672,0.91,0
0.062,0.851,0.074,0.069,0.543,0.902,0.266,0.16,0.161,0.647,0
0.06,0.348,0.667,0.985,0.879,0.018,0.547,0.493,0.525,0.318,0
0.616,0.44,0.228,0.099,0.864,0.739,0.836,0.461,0.767,0.04,1
0.88,0.507,0.136,0.36,0.028,0.989,0.164,0.301,0.398,0.289,0
0.832,0.975,0.006,0.925,0.645,0.205,0.104,0.09,0.379,0.674,1
0.095,0.55,0.711,0.653,0.033,0.867,0.821,0.242,0.544,0.283,1
0.617,0.889,0.773,0.659,0.003,0.334,0.506,0.621,0.915,0.002,0
0.941,0.494,0.777,0.271,0.562,0.094,0.248,0.329,0.092,0.524,0
0.419,0.161,0.587,0.114,0.796,0.841,0.493,0.722,0.966,0.287,0
0.739,0.086,0.227,0.393,0.159,0.701,0.338,0.132,0.147,0.027,1
0.094,0.123,0.031,0.532,0.5,0.355,0.9,0.768,0.403,0.67,1
0.542,0.706,0.076,0.115,0.688,0.427,0.964,0.705,0.867,0.414,1
0.689,0.304,0.912,0.105,0.047,0.063,0.393,0.884,0.376,0.64,1
0.452,0.576,0.918,0.924,0.53,0.986,0.503,0.461,0.162,0.376,1
0.292,0.408,0.283,0.689,0.111,0.131,0.794,0.414,0.419,0.593,1
0.805,0.576,0.307,0.664,0.687,0.076,0.724,0.767,0.625,0.25,1
0.67,0.622,0.111,0.857,0.165,0.693,0.813,0.858,0.342,0.346,0
0.681,0.032,0.77,0.626,0.981,0.616,0.297,0.115,0.894,0.935,1
0.824,0.727,0.007,0.246,0.951,0.767,0.007,0.743,0.996,0.584,0
0.357,0.495,0.611,0.0,0.195,0.518,0.894,0.003,0.442,0.331,1
0.39,0.611,0.984,0.591,0.37,0.751,0.853,0.118,0.129,0.494,0
0.731,0.169,0.376,0.564,0.457,0.358,0.031,0.839,0.294,0.738,1
0.41,0.868,0.782,0.203,0.987,0.557,0.509,0.344,0.534,0.501,1
0.796,0.104,0.878,0.01,0.863,0.901,0.689,0.703,0.797,0.644,1
0.479,0.324,0.546,0.049,0.899,0.182,0.576,0.304,0.127,0.897,1
0.863,0.245,0.982,0.506,0.322,0.76,0.926,0.068,0.486,0.229,1
0.414,0.08,0.38,0.466,0.301,0.252,0.832,0.938,0.912,0.654,0
0.549,0.81,0.351,0.003,0.567,0.578,0.177,0.165,0.486,0.133,0
0.878,0.244,0.545,0.536,0.211,0.726,0.87,0.763,0.409,0.082,1
0.293,0.828,0.424,0.132,0.816,0.562,0.762,0.238,0.045,0.061,1
0.959,0.61,0.112,0.647,0.471,0.425,0.076,0.124,0.651,0.96,0
0.246,0.912,0.026,0.578,0.355,0.629,0.224,0.288,0.927,0.389,0
0.589,0.651,0.748,0.945,0.696,0.633,0.705,0.711,0.287,0.19,1
0.588,0.939,0.061,0.772,0.841,0.405,0.996,0.937,0.794,0.148,1
0.103,0.489,0.185,0.106,0.421,0.584,0.395,0.193,0.641,0.646,0
0.244,0.949,0.769,0.202,0.128,0.413,0.022,0.66,0.56,0.983,1
0.121,0.962,0.816,0.262,0.272,0.719,0.574,0.719,0.763,0.476,0
0.756,0.725,0.385,0.898,0.429,0.954,0.223,0.28,0.926,0.189,0
0.953,0.103,0.82,0.665,0.609,0.407,0.776,0.711,0.904,0.331,1
0.252,0.641,0.6,0.545,0.096,0.137,0.315,0.425,0.777,0.27,1
0.157,0.676,0.295,0.431,0.338,0.511,0.188,0.455,0.933,0.401,1
0.912,0.234,0.162,0.84,0.312,0.417,0.789,0.565,0.083,0.865,1
0.454,0.553,0.695,0.189,0.425,0.634,0.916,0.757,0.039,0.896,0
0.378,0.057,0.237,0.429,0.532,0.713,0.812,0.384,0.818,0.965,0
0.841,0.434,0.777,0.339,0.006,0.265,0.23,0.791,0.756,0.695,0
